Efficienza,M,F,18-36,37-51,52+,Totale
Molto,36.2,39.4,42.8,39.8,33.3,39.1
Abbastanza,57.4,56.4,52.4,55.1,66.7,56.2
Poco,4.3,1,0,2,0,2
Per niente,2.1,0,0,1.1,0,0.7
Preferisco non rispondere,0,3.2,4.8,2,0,2
