Efficienza,M,F,18-36,37-51,52+,Totale
Molto,28.9,31.1,30.1,33.9,12.5,30.2
Abbastanza,61.2,63.5,63.8,59.3,50,62.8
Poco,7.5,4.7,5.5,5.5,25,5.7
Per niente,0.7,0.1,0.3,0,0,0.4
Preferisco non rispondere,1.7,0.6,0.3,1.3,12.5,0.9
