Efficienza,M,F,18-36,37-51,52+,Totale
Molto,27.1,31.8,34.5,32.2,5.6,29.7
Abbastanza,61.9,62.6,58.6,61.9,55.5,61.7
Poco,7.5,3.1,4.9,4.3,5.6,5.4
Per niente,1.4,0,0,0.3,5.6,0.6
Preferisco non rispondere,2.1,2.5,2,1.3,27.7,2.6
