Efficienza,M,F,18-36,37-51,52+,Totale
Molto,29.4,33.9,35,33.7,17.3,32
Abbastanza,60.5,59.9,59.4,60.2,57.7,60.2
Poco,7.1,3.7,3.6,3.9,7.7,4.9
Per niente,0.7,0.4,0.9,0.2,0,0.5
Preferisco non rispondere,2.3,2.1,1.1,1.9,17.3,2.4
