Efficienza,M,F,18-36,37-51,52+,Totale
Molto,21,36.7,30,23.8,29,24.2
Abbastanza,70.2,60,60,71.4,64.5,67.1
Poco,7.9,3.3,10,4.8,6.5,8
Per niente,0.9,0,0,0,0,0.7
Preferisco non rispondere,0,0,0,0,0,0
