Facilita nel trovare il S.O.,M,F,18-36,37-51,52+,Totale
Facilmente,52.6,53.4,48.5,55,50.9,51.7
Con qualche difficoltà,39.5,33.6,37.9,32.5,40.2,37
Con molte difficoltà,6,7.9,12.1,7.8,5.1,7.5
Sono riuscito a fare solo l’accesso,1.9,5.1,1.5,4.7,3.8,3.8
