Facilita nel trovare il S.O.,M,F,18-36,37-51,52+,Totale
Facilmente,56.4,61.1,60.5,61.7,25,59.2
Con qualche difficoltà,35.7,36.1,36.2,33.9,37.5,36.5
Con molte difficoltà,6.9,2.4,3,4.1,25,3.8
Sono riuscito a fare solo l’accesso,1,0.4,0.3,0.3,12.5,0.5
