Facilita nel trovare il S.O.,M,F,18-36,37-51,52+,Totale
Facilmente,53.8,64.4,65.2,60.5,44.2,60.3
Con qualche difficoltà,39.7,31.8,31.2,35.1,32.6,34.8
Con molte difficoltà,4.9,1.9,1.5,3.7,7.7,3.2
Sono riuscito a fare solo l’accesso,1.6,1.9,2.1,0.7,15.5,1.7
