Facilita nel trovare il S.O.,M,F,18-36,37-51,52+,Totale
Facilmente,49.5,48,33.3,55.3,47.2,46.6
Con qualche difficoltà,43.5,50,63,42.3,41.7,46.6
Con molte difficoltà,6.1,2,3.7,2.4,8.3,6.3
Sono riuscito a fare solo l’accesso,0.9,0,0,0,2.8,0.5
