Facilita nel trovare il S.O.,M,F,18-36,37-51,52+,Totale
Facilmente,50.5,63.6,60.5,63,44.5,58.3
Con qualche difficoltà,43.6,32.4,35.5,34.3,22.2,36.8
Con molte difficoltà,4.5,2.5,3,2.2,11.1,3.4
Sono riuscito a fare solo l’accesso,1.4,1.5,1,0.5,22.2,1.5
